date,code,name,close_price,total_score
20260521,000519,中兵红箭,16.82,33.7
20260522,000519,中兵红箭,17.91,36.5
20260525,000519,中兵红箭,18.93,59.06
20260512,000538,云南白药,51.81,26.23
20260513,000538,云南白药,51.65,30.04
20260514,000538,云南白药,51.5,29.65
20260515,000538,云南白药,51.17,31.18
20260518,000538,云南白药,50.86,27.1
20260519,000538,云南白药,50.88,30.1
20260520,000538,云南白药,50.78,27.01
20260521,000538,云南白药,50.13,25.76
20260522,000538,云南白药,49.8,25.36
20260525,000538,云南白药,49.47,25.42
20260512,000539,粤电力Ａ,7.38,61.13
20260513,000539,粤电力Ａ,7.65,57.41
20260514,000539,粤电力Ａ,7.23,58.44
20260515,000539,粤电力Ａ,7.0,54.46
20260518,000539,粤电力Ａ,6.98,47.66
20260519,000539,粤电力Ａ,7.03,49.86
20260520,000539,粤电力Ａ,6.45,47.61
20260521,000539,粤电力Ａ,6.44,40.91
20260522,000539,粤电力Ａ,6.53,41.51
20260525,000539,粤电力Ａ,6.76,46.58
20260512,000541,佛山照明,5.61,11.64
20260513,000541,佛山照明,5.59,11.75
20260514,000541,佛山照明,5.48,9.58
20260515,000541,佛山照明,5.44,7.6
20260518,000541,佛山照明,5.27,10.06
20260519,000541,佛山照明,5.29,10.65
20260520,000541,佛山照明,5.14,8.71
20260521,000541,佛山照明,5.11,9.32
20260522,000541,佛山照明,5.18,8.72
20260525,000541,佛山照明,5.05,10.34
20260512,000543,皖能电力,8.44,33.53
20260513,000543,皖能电力,8.58,44.63
20260514,000543,皖能电力,8.43,42.54
20260515,000543,皖能电力,8.54,44.66
20260518,000543,皖能电力,8.64,34.59
20260519,000543,皖能电力,9.0,44.06
20260520,000543,皖能电力,8.41,29.95
20260521,000543,皖能电力,8.46,36.32
20260522,000543,皖能电力,8.73,36.82
20260525,000543,皖能电力,8.98,39.17
20260512,000550,江铃汽车,18.71,34.15
20260513,000550,江铃汽车,18.93,37.01
20260514,000550,江铃汽车,18.73,34.95
20260515,000550,江铃汽车,18.7,36.16
20260518,000550,江铃汽车,18.09,36.29
20260519,000550,江铃汽车,18.03,34.2
20260520,000550,江铃汽车,17.85,30.55
20260521,000550,江铃汽车,17.7,31.58
20260522,000550,江铃汽车,17.56,32.78
20260525,000550,江铃汽车,17.14,31.32
20260512,000552,甘肃能化,2.81,51.62
20260513,000552,甘肃能化,2.79,50.62
20260514,000552,甘肃能化,2.74,50.02
20260515,000552,甘肃能化,2.8,55.02
20260518,000552,甘肃能化,2.81,52.52
20260519,000552,甘肃能化,2.82,54.12
20260520,000552,甘肃能化,2.72,48.32
20260521,000552,甘肃能化,2.64,40.92
20260522,000552,甘肃能化,2.65,40.42
20260525,000552,甘肃能化,2.69,45.42
20260512,000555,神州信息,14.26,19.49
20260513,000555,神州信息,14.46,21.69
20260514,000555,神州信息,13.94,17.49
20260515,000555,神州信息,14.0,15.09
20260518,000555,神州信息,13.83,10.09
20260519,000555,神州信息,14.12,19.09
20260520,000555,神州信息,13.58,16.7
20260521,000555,神州信息,13.0,13.1
20260522,000555,神州信息,13.9,13.0
20260525,000555,神州信息,14.25,20.69
20260512,000557,西部创业,4.61,14.23
20260513,000557,西部创业,4.64,19.52
20260514,000557,西部创业,4.56,15.34
20260515,000557,西部创业,4.56,19.54
20260518,000557,西部创业,4.48,14.35
20260519,000557,西部创业,4.52,18.54
20260520,000557,西部创业,4.43,14.36
20260521,000557,西部创业,4.36,14.38
20260522,000557,西部创业,4.4,14.38
20260525,000557,西部创业,4.32,14.49
20260512,000567,海德股份,6.62,50.4
20260513,000567,海德股份,6.73,48.4
20260514,000567,海德股份,6.43,49.6
20260515,000567,海德股份,6.46,42.0
20260518,000567,海德股份,6.31,39.0
20260519,000567,海德股份,6.51,39.4
20260520,000567,海德股份,6.33,38.0
20260521,000567,海德股份,6.18,41.0
20260522,000567,海德股份,6.11,40.6
20260525,000567,海德股份,6.18,41.6
20260512,000568,泸州老窖,94.78,16.6
20260513,000568,泸州老窖,92.7,15.54
20260514,000568,泸州老窖,94.35,21.13
20260515,000568,泸州老窖,91.33,20.93
20260518,000568,泸州老窖,89.97,14.83
20260519,000568,泸州老窖,90.33,21.0
20260520,000568,泸州老窖,92.2,23.77
20260521,000568,泸州老窖,91.42,18.33
20260522,000568,泸州老窖,90.02,19.43
20260525,000568,泸州老窖,91.85,28.5
20260512,000581,威孚高科,20.08,30.55
