code,name,关注度,单日涨跌幅,股息率,今年相对大盘强弱,财报,5日涨跌幅,行业相对强弱,新闻,资金流向,total_score
601107,四川成渝,1.9,4,7.51,6,1.26,6,6.2,5.0,7,44.87
688331,荣昌生物,1.6,3,0.0,10,18.84,2,0.4,7.0,2,44.84
000063,中兴通讯,4.5,5,2.19,3,7.1,4,3.0,6.0,10,44.79
603327,福蓉科技,1.9,3,2.07,3,20.0,4,4.8,0.0,6,44.77
002378,章源钨业,1.0,5,0.76,10,20.0,2,2.0,2.0,2,44.76
300628,亿联网络,2.0,3,5.79,6,9.7,6,4.2,0.0,8,44.69
301316,慧博云通,1.0,4,0.34,10,6.34,4,9.0,1.0,9,44.68
688016,心脉医疗,2.3,3,1.92,6,10.02,6,4.4,7.0,4,44.64
600415,小商品城,2.6,6,6.26,2,11.88,6,6.8,2.0,1,44.54
002043,兔宝宝,1.9,4,1.73,6,10.88,6,5.0,5.0,4,44.51
688981,中芯国际,5.5,6,0.0,3,15.39,2,3.6,7.0,2,44.49
000810,创维数字,1.7,3,1.29,4,20.0,4,4.4,2.0,4,44.39
601163,三角轮胎,1.9,3,4.95,4,16.66,6,3.8,0.0,4,44.31
603663,三祥新材,1.7,4,0.48,8,17.53,2,2.6,5.0,3,44.31
301345,涛涛车业,1.6,5,1.21,3,19.63,2,6.8,2.0,3,44.24
600301,华锡有色,1.0,4,1.32,10,8.12,4,6.8,1.0,8,44.24
000301,东方盛虹,1.0,4,0.0,8,14.83,6,7.4,2.0,1,44.23
600761,安徽合力,1.6,6,4.69,2,3.01,8,6.8,2.0,10,44.1
002179,中航光电,4.6,6,2.72,6,-1.43,10,6.2,4.0,6,44.09
600875,东方电气,4.8,4,2.75,10,8.12,4,2.4,3.0,5,44.07
688005,容百科技,2.9,6,0.0,4,19.96,2,6.2,1.0,2,44.06
600266,城建发展,1.7,5,1.96,4,18.38,4,2.0,1.0,6,44.04
688126,沪硅产业,2.3,4,0.0,8,-5.13,10,8.8,7.0,9,43.97
000612,焦作万方,1.1,2,4.76,6,18.69,2,1.4,5.0,3,43.95
605011,杭州热电,2.0,4,0.9,6,7.57,6,7.4,0.0,10,43.87
603119,浙江荣泰,1.0,6,0.51,2,15.32,6,8.0,1.0,4,43.83
002063,远光软件,1.9,5,0.99,6,10.73,4,3.2,3.0,9,43.82
688063,派能科技,2.2,5,0.34,10,19.88,2,1.4,1.0,2,43.82
600377,宁沪高速,2.1,3,6.61,4,5.49,6,5.6,4.0,7,43.8
603155,新亚强,1.6,2,3.67,6,9.92,6,8.6,0.0,6,43.79
603699,纽威股份,1.0,4,3.32,8,15.61,2,8.8,0.0,1,43.73
300260,新莱应材,1.0,1,0.16,6,2.57,10,10.0,4.0,9,43.73
601111,中国国航,3.7,3,0.0,2,17.54,4,4.4,1.0,8,43.64
002716,湖南白银,1.0,5,0.0,10,20.0,2,2.6,1.0,2,43.6
600030,中信证券,4.2,3,3.08,2,18.07,4,3.2,5.0,1,43.55
600406,国电南瑞,6.6,3,3.48,8,2.66,6,3.8,4.0,6,43.54
